timestamp,x(m),y(m),theta(rad)
1746002287.649701,1.000000,1.000000,1.570796
1746002287.699641,1.000028,1.000011,1.570787
1746002287.749589,1.000046,1.000029,1.570793
1746002287.799719,0.999983,1.000016,1.570789
1746002287.849669,0.999997,1.000015,1.570796
1746002287.899717,1.000029,1.000014,1.570797
1746002287.949665,1.000005,1.000014,1.570800
1746002287.999707,1.000005,1.000014,1.570800
1746002288.049601,1.000021,1.000011,1.570823
1746002288.099673,1.000006,1.000026,1.570824
1746002288.149684,1.000008,1.000026,1.570826
1746002288.199659,1.000008,1.000026,1.570826
1746002288.249886,1.000008,1.000026,1.570826
1746002288.299698,1.000025,1.000029,1.570831
1746002288.349616,1.000025,1.000029,1.570831
1746002288.399619,1.000025,1.000029,1.570831
1746002288.449684,1.000033,1.000014,1.570860
1746002288.499587,1.000034,1.000024,1.570875
1746002288.549692,1.000009,1.000031,1.570883
1746002288.599674,1.000032,1.000020,1.570889
1746002288.649669,1.000030,1.000019,1.570895
1746002288.699722,1.000013,1.000022,1.570903
1746002288.749690,1.000013,1.000022,1.570903
1746002288.799604,1.000029,1.000026,1.570912
1746002288.849711,1.000029,1.000026,1.570912
1746002288.899826,1.000019,0.999984,1.570920
1746002288.949685,1.000009,1.000016,1.570923
1746002288.999760,1.000014,1.000019,1.570915
1746002289.049652,1.000014,1.000019,1.570915
1746002289.099623,1.000000,1.000035,1.570918
1746002289.149661,1.000024,0.999997,1.570934
1746002289.199786,1.000024,0.999997,1.570934
1746002289.249643,1.000004,1.000005,1.570930
1746002289.299642,1.000015,1.000011,1.570919
1746002289.349651,1.000015,1.000011,1.570919
1746002289.399602,0.999993,1.000008,1.570941
1746002289.449593,0.999982,1.000032,1.570941
1746002289.499646,1.000008,1.000015,1.570949
1746002289.549622,0.999997,1.000001,1.570974
1746002289.599638,0.999997,1.000001,1.570974
1746002289.649673,1.000032,1.000000,1.571017
1746002289.699695,1.000015,1.000036,1.571025
1746002289.749578,1.000008,1.000007,1.571031
1746002289.799818,1.000028,0.999993,1.571038
1746002289.849616,1.000028,0.999993,1.571038
1746002289.899777,1.000006,1.000007,1.571064
1746002289.949795,1.000019,1.000028,1.571069
1746002289.999909,1.000019,1.000028,1.571069
1746002290.049732,1.000019,1.000028,1.571069
1746002290.099802,1.000024,0.999972,1.571148
1746002290.149601,0.999998,1.000034,1.571159
1746002290.199682,1.000014,0.999995,1.571154
1746002290.249735,1.000009,1.000001,1.571148
1746002290.299863,1.000003,1.000049,1.571144
1746002290.349669,1.000034,1.000003,1.571138
1746002290.399698,1.000034,1.000003,1.571138
1746002290.449877,0.999996,1.000026,1.571138
1746002290.499717,0.999996,1.000026,1.571138
1746002290.549783,1.000006,1.000035,1.571154
1746002290.599771,1.000044,0.999981,1.571156
1746002290.649650,1.000033,1.000016,1.571160
1746002290.699906,1.000027,1.000034,1.571158
1746002290.749849,1.000026,0.999987,1.571161
1746002290.799824,1.000026,0.999987,1.571161
1746002290.849730,1.000015,1.000039,1.571160
1746002290.899781,1.000045,0.999988,1.571157
