timestamp,x(m),y(m),theta(rad)
1746001631.370240,1.000000,1.000000,2.094395
1746001631.420305,1.000000,1.000000,2.094395
1746001631.470429,1.000019,0.999985,2.094455
1746001631.520209,0.999987,1.000005,2.094454
1746001631.570299,1.000006,0.999985,2.094444
1746001631.620262,0.999987,0.999981,2.094441
1746001631.670307,0.999987,0.999981,2.094441
1746001631.720241,1.000014,0.999986,2.094441
1746001631.770392,1.000021,0.999966,2.094437
1746001631.820430,0.999979,0.999977,2.094434
1746001631.870373,1.000019,0.999983,2.094432
1746001631.920299,0.999990,0.999987,2.094435
1746001631.970349,0.999990,0.999987,2.094435
1746001632.020371,0.999981,0.999973,2.094466
1746001632.070323,0.999981,0.999973,2.094466
1746001632.120343,1.000026,0.999977,2.094473
1746001632.170541,0.999972,0.999973,2.094479
1746001632.220645,1.000018,0.999977,2.094493
1746001632.270411,1.000010,0.999983,2.094492
1746001632.320325,0.999960,0.999965,2.094479
1746001632.370529,0.999997,1.000021,2.094513
1746001632.420188,0.999998,1.000004,2.094528
1746001632.470260,0.999998,1.000004,2.094528
1746001632.520376,1.000005,1.000003,2.094533
1746001632.570393,1.000005,1.000003,2.094533
1746001632.620378,0.999983,1.000017,2.094548
1746001632.670250,1.000017,1.000008,2.094559
1746001632.720708,1.000017,1.000008,2.094559
1746001632.770527,1.000001,1.000011,2.094571
1746001632.820364,1.000051,0.999992,2.094582
1746001632.870272,1.000017,1.000007,2.094569
1746001632.920344,1.000017,1.000007,2.094569
1746001632.970378,1.000026,1.000004,2.094602
1746001633.020647,1.000037,0.999986,2.094618
1746001633.070327,1.000037,0.999986,2.094618
1746001633.120230,1.000037,0.999986,2.094618
1746001633.170162,1.000035,0.999974,2.094651
1746001633.220230,0.999993,1.000000,2.094662
1746001633.270339,0.999993,1.000000,2.094662
1746001633.320119,1.000020,0.999977,2.094660
1746001633.370332,0.999992,0.999966,2.094658
1746001633.420243,1.000049,0.999971,2.094657
1746001633.470262,1.000006,0.999982,2.094657
1746001633.520229,0.999984,0.999973,2.094649
1746001633.570318,1.000021,0.999950,2.094637
1746001633.620275,1.000021,0.999950,2.094637
1746001633.670446,1.000006,0.999991,2.094641
1746001633.720319,1.000056,0.999970,2.094628
1746001633.770343,1.000056,0.999970,2.094628
1746001633.820286,1.000019,0.999996,2.094639
1746001633.870273,1.000037,0.999957,2.094645
1746001633.920270,1.000037,0.999957,2.094645
1746001633.970261,1.000014,0.999966,2.094624
1746001634.020210,1.000032,0.999976,2.094618
1746001634.070256,0.999992,0.999985,2.094606
1746001634.120301,0.999992,0.999985,2.094606
1746001634.170228,1.000044,0.999952,2.094583
1746001634.220245,1.000002,0.999962,2.094575
1746001634.270270,1.000002,0.999962,2.094575
1746001634.320324,1.000044,0.999958,2.094576
1746001634.370265,1.000044,0.999958,2.094576
1746001634.420269,1.000044,0.999958,2.094576
1746001634.470217,1.000000,0.999997,2.094545
1746001634.520252,1.000040,0.999959,2.094540
